county_fips,county_name,source_year,acs_release,date_accessed,population,poverty_count,poverty_universe,poverty_pct,median_household_income,uninsured_count,uninsured_universe,uninsured_pct,age_65_plus_count,age_65_plus_pct,disability_count,disability_pct,households_no_vehicle_count,transportation_access_proxy,no_internet_access_count,internet_access_gap_pct,source_acs
24001,"Allegany County, MD",2020-2024,ACS 2024 5-year,2026-06-16,67452,10302.0,61133.0,16.85,59603.0,2371.0,62684.0,3.78,14262.0,21.14,13256.0,21.15,2503.0,9.14,3539.0,12.92,real_public_data
24003,"Anne Arundel County, MD",2020-2024,ACS 2024 5-year,2026-06-16,598166,32980.0,584318.0,5.64,124911.0,27369.0,576539.0,4.75,94886.0,15.86,61993.0,10.75,9120.0,4.06,6696.0,2.98,real_public_data
24005,"Baltimore County, MD",2020-2024,ACS 2024 5-year,2026-06-16,850796,81318.0,831275.0,9.78,91768.0,45873.0,843930.0,5.44,154369.0,18.14,102464.0,12.14,26021.0,7.82,16832.0,5.06,real_public_data
24510,"Baltimore city, MD",2020-2024,ACS 2024 5-year,2026-06-16,573243,109292.0,553387.0,19.75,62177.0,33620.0,566123.0,5.94,87602.0,15.28,93534.0,16.52,68150.0,26.66,24937.0,9.75,real_public_data
24009,"Calvert County, MD",2020-2024,ACS 2024 5-year,2026-06-16,94313,3632.0,93877.0,3.87,133922.0,2830.0,92810.0,3.05,15402.0,16.33,10030.0,10.81,988.0,2.95,1604.0,4.79,real_public_data
24011,"Caroline County, MD",2020-2024,ACS 2024 5-year,2026-06-16,33669,4035.0,33177.0,12.16,68457.0,2438.0,33333.0,7.31,5831.0,17.32,4979.0,14.94,692.0,5.54,1234.0,9.88,real_public_data
24013,"Carroll County, MD",2020-2024,ACS 2024 5-year,2026-06-16,175321,8942.0,171674.0,5.21,118211.0,5011.0,172747.0,2.9,31453.0,17.94,21465.0,12.43,2099.0,3.27,3711.0,5.77,real_public_data
24015,"Cecil County, MD",2020-2024,ACS 2024 5-year,2026-06-16,104960,11231.0,103531.0,10.85,92007.0,3739.0,103637.0,3.61,17925.0,17.08,13595.0,13.12,1973.0,4.86,2475.0,6.1,real_public_data
24017,"Charles County, MD",2020-2024,ACS 2024 5-year,2026-06-16,170527,11636.0,169262.0,6.87,122816.0,7767.0,167695.0,4.63,23350.0,13.69,18860.0,11.25,2358.0,3.87,2880.0,4.73,real_public_data
24019,"Dorchester County, MD",2020-2024,ACS 2024 5-year,2026-06-16,32754,5528.0,32261.0,17.14,61839.0,1798.0,32441.0,5.54,7538.0,23.01,5421.0,16.71,1577.0,11.64,1471.0,10.86,real_public_data
24021,"Frederick County, MD",2020-2024,ACS 2024 5-year,2026-06-16,287048,16959.0,282629.0,6.0,122002.0,13357.0,283884.0,4.71,43882.0,15.29,28174.0,9.92,4623.0,4.42,5823.0,5.57,real_public_data
24023,"Garrett County, MD",2020-2024,ACS 2024 5-year,2026-06-16,28615,3144.0,27955.0,11.25,67688.0,1753.0,28254.0,6.2,6925.0,24.2,5602.0,19.83,990.0,7.87,1810.0,14.39,real_public_data
24025,"Harford County, MD",2020-2024,ACS 2024 5-year,2026-06-16,263757,18689.0,261825.0,7.14,112265.0,9272.0,261158.0,3.55,46016.0,17.45,29420.0,11.27,4512.0,4.43,4511.0,4.43,real_public_data
24027,"Howard County, MD",2020-2024,ACS 2024 5-year,2026-06-16,336328,17407.0,332782.0,5.23,149763.0,14018.0,331595.0,4.23,51275.0,15.25,28763.0,8.67,4391.0,3.63,2498.0,2.06,real_public_data
24029,"Kent County, MD",2020-2024,ACS 2024 5-year,2026-06-16,19346,1730.0,17909.0,9.66,80147.0,1151.0,18993.0,6.06,5305.0,27.42,2903.0,15.28,485.0,5.71,955.0,11.24,real_public_data
24031,"Montgomery County, MD",2020-2024,ACS 2024 5-year,2026-06-16,1065949,78753.0,1057024.0,7.45,132450.0,73432.0,1056471.0,6.95,181139.0,16.99,99507.0,9.42,33093.0,8.5,10079.0,2.59,real_public_data
24033,"Prince George's County, MD",2020-2024,ACS 2024 5-year,2026-06-16,959754,101609.0,937096.0,10.84,101798.0,108313.0,950053.0,11.4,143116.0,14.91,99654.0,10.49,31898.0,9.17,14293.0,4.11,real_public_data
24035,"Queen Anne's County, MD",2020-2024,ACS 2024 5-year,2026-06-16,51825,3315.0,51494.0,6.44,112826.0,2922.0,51468.0,5.68,10720.0,20.68,5413.0,10.52,633.0,3.18,1057.0,5.31,real_public_data
24039,"Somerset County, MD",2020-2024,ACS 2024 5-year,2026-06-16,24822,3250.0,19867.0,16.36,64943.0,772.0,21300.0,3.62,4419.0,17.8,3206.0,15.05,636.0,7.62,1110.0,13.3,real_public_data
24037,"St. Mary's County, MD",2020-2024,ACS 2024 5-year,2026-06-16,115126,8982.0,112537.0,7.98,119446.0,4313.0,111356.0,3.87,16144.0,14.02,13205.0,11.86,1339.0,3.16,2520.0,5.94,real_public_data
24041,"Talbot County, MD",2020-2024,ACS 2024 5-year,2026-06-16,37917,3494.0,37467.0,9.33,84811.0,1479.0,37570.0,3.94,11210.0,29.56,5751.0,15.31,1197.0,7.28,1285.0,7.82,real_public_data
24043,"Washington County, MD",2020-2024,ACS 2024 5-year,2026-06-16,155709,18423.0,148355.0,12.42,77747.0,9313.0,148730.0,6.26,28153.0,18.08,22751.0,15.3,4614.0,7.71,5807.0,9.71,real_public_data
24045,"Wicomico County, MD",2020-2024,ACS 2024 5-year,2026-06-16,104914,14100.0,101167.0,13.94,76210.0,6923.0,103948.0,6.66,17448.0,16.63,12365.0,11.9,2293.0,5.67,2872.0,7.1,real_public_data
24047,"Worcester County, MD",2020-2024,ACS 2024 5-year,2026-06-16,53700,5266.0,52974.0,9.94,81745.0,2669.0,52974.0,5.04,15371.0,28.62,8141.0,15.37,1433.0,5.94,1651.0,6.84,real_public_data
