rank,county_fips,county,population,priority_score,health_burden_score,social_need_score,access_gap_score,uninsured_adults_pct,food_insecurity_pct,housing_insecurity_pct,transportation_barrier_pct,utility_insecurity_pct,diabetes_pct,obesity_pct,high_blood_pressure_pct,physical_distress_pct,mental_distress_pct,depression_pct,primary_care_hpsa_count,mental_health_hpsa_count,max_hpsa_score,hospital_count,hospital_per_100k,avg_hospital_rating
1,24039,Somerset County,24910,78.37,75.81,84.15,74.36,10.90,23.40,18.80,12.10,12.80,14.20,38.40,42.70,14.90,18.50,20.90,1.00,1.00,20.00,0.00,0.00,
2,24011,Caroline County,33593,76.40,82.25,59.10,91.26,10.60,19.20,15.20,9.40,10.00,14.20,41.70,41.30,15.30,18.10,24.20,2.00,2.00,23.00,0.00,0.00,
3,24510,Baltimore City,565239,76.37,74.64,92.94,55.93,10.10,25.20,21.40,12.70,14.30,14.40,38.70,40.60,13.80,18.40,23.50,19.00,10.00,24.00,14.00,2.48,3.36
4,24019,Dorchester County,32879,68.68,86.59,60.32,51.73,10.10,19.30,15.60,9.80,10.40,16.60,41.80,44.20,16.30,17.00,20.20,1.00,1.00,19.00,1.00,3.04,
5,24033,Prince George's County,947430,63.58,53.36,81.05,55.47,12.50,22.10,19.50,10.30,11.70,15.20,42.20,40.00,12.60,14.30,14.80,4.00,3.00,22.00,4.00,0.42,2.50
6,24001,Allegany County,67273,60.30,76.85,47.80,51.31,9.40,18.00,13.60,8.80,9.00,13.30,36.60,39.60,15.50,18.90,25.70,2.00,3.00,18.00,2.00,2.97,4.00
7,24043,Washington County,155813,56.99,66.26,43.91,60.47,9.40,15.90,13.60,8.40,8.90,13.30,39.00,38.90,14.30,16.90,22.90,3.00,5.00,21.00,2.00,1.28,3.00
8,24045,Wicomico County,104800,52.56,58.76,45.77,52.16,9.10,16.70,13.40,9.00,9.10,12.60,39.60,36.70,13.10,17.60,21.70,2.00,2.00,22.00,1.00,0.95,4.00
9,24023,Garrett County,28423,50.98,68.26,19.00,68.08,7.90,12.30,9.90,6.60,6.40,14.10,36.30,42.40,15.00,16.40,21.00,2.00,2.00,18.00,1.00,3.52,4.00
10,24017,Charles County,171973,49.82,56.59,43.56,47.73,7.50,16.40,15.00,8.50,9.90,13.40,41.90,41.40,11.80,16.00,17.50,1.00,1.00,16.00,1.00,0.58,3.00
11,24015,Cecil County,105672,48.75,69.74,26.17,46.79,8.00,13.30,11.40,7.10,7.30,13.20,41.30,39.20,14.00,17.40,23.20,2.00,2.00,20.00,2.00,1.89,4.00
12,24029,Kent County,19303,42.63,61.44,20.41,43.62,7.90,12.40,10.10,6.80,6.60,13.70,35.10,43.00,13.30,15.20,22.10,1.00,1.00,17.00,1.00,5.18,5.00
13,24005,Baltimore County,844703,42.02,45.70,37.96,41.82,8.10,15.60,13.70,8.10,8.40,13.10,34.00,36.70,11.70,16.10,20.70,3.00,2.00,18.00,7.00,0.83,3.75
14,24047,Worcester County,54171,38.83,55.25,12.67,49.20,7.10,11.20,9.50,6.10,6.10,13.70,33.10,42.10,13.90,14.50,20.40,1.00,1.00,15.00,1.00,1.85,3.00
15,24037,St. Mary's County,115281,35.16,43.80,21.89,39.92,7.60,12.10,11.30,6.80,7.00,11.40,37.40,34.70,11.90,16.40,21.20,1.00,1.00,14.00,1.00,0.87,4.00
16,24025,Harford County,264644,34.51,43.10,13.00,50.90,6.80,10.90,10.10,6.10,6.40,11.60,35.80,35.90,12.10,15.40,21.60,1.00,1.00,14.00,2.00,0.76,2.00
17,24035,Queen Anne's County,52508,32.68,40.85,7.25,55.20,6.70,10.10,8.90,5.70,5.70,11.60,29.40,38.40,12.40,14.90,22.40,1.00,1.00,16.00,0.00,0.00,
18,24021,Frederick County,293391,30.23,30.09,14.45,52.56,7.70,10.50,10.00,5.90,6.40,10.60,34.70,33.90,10.50,15.10,20.50,2.00,2.00,20.00,1.00,0.34,3.00
19,24003,Anne Arundel County,594582,27.96,31.04,15.03,41.15,7.10,11.50,10.40,6.00,6.50,10.40,34.50,34.50,11.70,14.60,19.90,1.00,2.00,18.00,3.00,0.50,4.00
20,24041,Talbot County,37823,27.88,47.08,14.09,16.46,7.70,11.20,9.60,6.00,6.00,13.10,30.10,41.60,13.60,13.60,20.50,0.00,0.00,0.00,1.00,2.64,4.00
21,24009,Calvert County,94728,27.51,38.61,10.49,33.59,6.50,10.50,10.00,5.90,6.20,10.90,36.30,36.90,11.90,14.90,19.70,1.00,1.00,14.00,1.00,1.06,5.00
22,24013,Carroll County,176639,27.16,37.91,1.76,45.51,6.30,9.00,8.40,5.30,5.20,10.30,37.70,34.40,11.40,14.90,22.50,1.00,1.00,16.00,2.00,1.13,3.00
23,24031,Montgomery County,1058474,23.10,7.14,19.03,54.33,8.70,12.00,10.40,6.00,5.90,10.80,26.10,32.70,10.50,12.00,17.00,5.00,2.00,22.00,7.00,0.66,2.50
24,24027,Howard County,336001,13.38,12.31,1.18,32.18,5.70,9.40,8.70,5.30,5.30,10.40,30.00,34.50,9.50,12.40,17.70,0.00,0.00,0.00,1.00,0.30,3.00
